"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","Gamma","log10T90Err","log10FluenceErr","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10z"
"GRB050315",1.949,1.9804578922761,-5.492144128,0.285557309,2.11,21.91683806,-11.3757179,4.86356,1.10818,0.856,1.99544,0.0636907468526031,0.0119343109944412,0.0300030730163057,0.054545454545455,0.032450000000001,0.04512,0.049165,0.001,0.469674772551798
"GRB050318",1.44,1.50514997831991,-5.966576245,0.499687083,1.9,20.92661714,-11.15490196,4.132084541,1.874408221,0.95,1.98053,0.148833498120448,0.0187658109674778,0.016658783334164,0.060606060606061,0.06181969,0.043780336,0.0859065195,0.037,0.387389826338729
"GRB050319",3.24,2.1832698436828,-5.882728704,0.181843588,2.02,20.93735437,-10.70553377,3.73997,0.863159,0.971,2.01045,0.0311991209237988,0.0297365640854658,0.036364370489667,0.115151515151515,0.04165,0.06193,0.034558,0.009,0.627365856592733
"GRB050401",2.9,1.52244423350632,-5.085128182,1.029383778,1.4,22.12570242,-9.653647026,3.12435,0.984108,0.9995,1.78711,0.00815583518093314,0.0097982829257281,0.022631035007725,0.042424242424242,0.019455000000001,0.02833,0.0260615,0.0174145,0.591064607026499
"GRB050505",4.27,1.7701152947871,-5.603800653,0.267171728,1.41,22.23063027,-11.04817696,4.270583544,1.462094791,0.973,2.01835,0.0504266082791868,0.018921434167657,0.0441052545503497,0.072727272727273,0.03272177,0.030067592,0.035926291,5e-04,0.721810615212547
"GRB050730",3.967,2.19451434188247,-5.623423043,-0.259637311,1.53,21.73850309,-10.09854168,4.05018,2.38763,0.5615,1.6177,0.0500432094331858,0.0168099723091123,0.0669985978354264,0.066666666666667,0.0266,0.017795,0.0538,0.0002104915,0.696094159995223
"GRB050802",1.7102,1.27875360095283,-5.698970004,0.439332694,1.54,21.25883595,-10.28650946,3.63973,1.44729,0.8585,1.8557,0.233102740828459,0.020661888971532,0.0421134042893105,0.078787878787879,0.0275,0.0326,0.03274,0.0023696055,0.433001340945038
"GRB050803",3.5,1.94398887507377,-5.66756154,-0.017728767,1.38,21.34755638,-10.86012091,4.21721,1.52234,1.218,2.11696,0.0515724807353036,0.0165270627330643,0.0301593390238071,0.066666666666667,0.048900000000001,0.04766,0.048695,0.2248562595,0.653212513775344
"GRB050824",0.8278,1.3541084391474,-6.575118363,-0.301029996,2.76,20.9708274,-12.23882419,5.08558,0.954481,0.86,1.94709,0.0782292570053204,0.0514543473223617,0.0789626331344129,0.23030303030303,0.06855,0.12722,0.0899785,0.01,0.261928672990642
"GRB060115",3.53,2.14488541828714,-5.76700389,-0.060480747,1,21.43355223,-11.29499204,3.69688,0.889919,1,2.10553,0.0469357822525134,0.0230884892235729,0.0363046588524031,0.303030303,0.0812,0.123015,0.053884,0.085,0.656098202012832
